Experiment,ProblemSize,NumberThreads,Time (us),ErrorCheck
Unoptimized,10000,1,102737,0.00153786
RowMajor,10000,1,124367,0.00153786
Unoptimized,10000,2,85673,0.00153786
RowMajor,10000,2,119474,0.00153786
Unoptimized,10000,4,75543.3,0.00153786
RowMajor,10000,4,119449,0.00153786
Unoptimized,10000,8,75499.7,0.00153786
RowMajor,10000,8,119119,0.00153786
Unoptimized,15000,1,221556,0.00107929
RowMajor,15000,1,271159,0.00107929
Unoptimized,15000,2,216736,0.00107929
RowMajor,15000,2,269907,0.00107929
Unoptimized,15000,4,218224,0.00107929
RowMajor,15000,4,270921,0.00107929
Unoptimized,15000,8,222913,0.00107929
RowMajor,15000,8,271725,0.00107929
Unoptimized,20000,1,1.05206e+06,0.000838229
RowMajor,20000,1,484814,0.000838229
Unoptimized,20000,2,1.04525e+06,0.000838229
RowMajor,20000,2,481409,0.000838229
Unoptimized,20000,4,1.04608e+06,0.000838229
RowMajor,20000,4,485030,0.000838229
Unoptimized,20000,8,1.23127e+06,0.000838229
RowMajor,20000,8,492146,0.000838229
