Experiment,ProblemSize,NumberThreads,Time (us),ErrorCheck
Unoptimized,5000,1,28418.5,0.00279861
RowMajor,5000,1,30879.1,0.00279861
WeakOpenMP,5000,1,4527.2,0.0027986
StrongOpenMP,5000,1,66959.9,0.0027986
Unoptimized,5000,2,23005.4,0.00279861
RowMajor,5000,2,30265.7,0.00279861
WeakOpenMP,5000,2,29778.4,0.0027986
StrongOpenMP,5000,2,31443.8,0.0027986
Unoptimized,5000,4,22882.3,0.00279861
RowMajor,5000,4,29782.4,0.00279861
WeakOpenMP,5000,4,25497.5,0.0027986
StrongOpenMP,5000,4,21157.7,0.0027986
Unoptimized,5000,8,23010.2,0.00279861
RowMajor,5000,8,30469.6,0.00279861
WeakOpenMP,5000,8,20859.3,0.0027986
StrongOpenMP,5000,8,16758.6,0.0027986
Unoptimized,10000,1,76288.2,0.00153786
RowMajor,10000,1,119834,0.00153786
WeakOpenMP,10000,1,14656.6,0.00153786
StrongOpenMP,10000,1,74776.7,0.00153786
Unoptimized,10000,2,76274.3,0.00153786
RowMajor,10000,2,119964,0.00153786
WeakOpenMP,10000,2,120635,0.00153786
StrongOpenMP,10000,2,122827,0.00153786
Unoptimized,10000,4,76338.2,0.00153786
RowMajor,10000,4,120190,0.00153786
WeakOpenMP,10000,4,68620.2,0.00153786
StrongOpenMP,10000,4,75256.4,0.00153786
Unoptimized,10000,8,76335.5,0.00153786
RowMajor,10000,8,119771,0.00153786
WeakOpenMP,10000,8,50816,0.00153786
StrongOpenMP,10000,8,57754.2,0.00153786
Unoptimized,20000,1,1.00857e+06,0.000838229
RowMajor,20000,1,480048,0.000838229
WeakOpenMP,20000,1,31006.9,0.000838227
StrongOpenMP,20000,1,147038,0.000838227
Unoptimized,20000,2,977058,0.000838229
RowMajor,20000,2,478820,0.000838229
WeakOpenMP,20000,2,480450,0.000838227
StrongOpenMP,20000,2,487601,0.000838227
Unoptimized,20000,4,1.00392e+06,0.000838229
RowMajor,20000,4,479520,0.000838229
WeakOpenMP,20000,4,257996,0.000838227
StrongOpenMP,20000,4,269496,0.000838227
Unoptimized,20000,8,968348,0.000838229
RowMajor,20000,8,481644,0.000838229
WeakOpenMP,20000,8,174279,0.000838227
StrongOpenMP,20000,8,191415,0.000838227
